symbol,action_day,time,record_id,price,volume,order_kind,function_code,channel,direction,datetime
000004.SZ,20240308,91500000,73,12.990000,41400,48,66,73,1,20240308091500000
000004.SZ,20240308,91500000,820,14.410000,100,48,83,820,2,20240308091500000
000004.SZ,20240308,91500030,1352,11.800000,6500,48,83,1352,2,20240308091500030
000004.SZ,20240308,91500030,1355,11.800000,14300,48,83,1355,2,20240308091500030
000004.SZ,20240308,91500030,1117,11.820000,100,48,66,1117,1,20240308091500030
000004.SZ,20240308,91500030,1195,11.820000,100,48,66,1195,1,20240308091500030
000004.SZ,20240308,91500030,1198,11.820000,100,48,66,1198,1,20240308091500030
000004.SZ,20240308,91500040,2702,13.150000,900,48,66,2702,1,20240308091500040
000004.SZ,20240308,91500040,2704,13.150000,900,48,66,2704,1,20240308091500040
000004.SZ,20240308,91500040,2778,13.110000,100,48,66,2778,1,20240308091500040
000004.SZ,20240308,91500040,3258,12.360000,800,48,66,3258,1,20240308091500040
000004.SZ,20240308,91500040,4016,11.800000,100,48,83,4016,2,20240308091500040
000004.SZ,20240308,91500040,4030,11.820000,100,48,66,4030,1,20240308091500040
000004.SZ,20240308,91500040,5523,14.000000,300,48,83,5523,2,20240308091500040
000004.SZ,20240308,91500040,5563,14.420000,500,48,83,5563,2,20240308091500040
000004.SZ,20240308,91500040,4384,11.820000,100,48,66,4384,1,20240308091500040
000004.SZ,20240308,91500050,8244,12.400000,300,48,66,8244,1,20240308091500050
000004.SZ,20240308,91500050,8898,11.800000,1700,48,83,8898,2,20240308091500050
000004.SZ,20240308,91500050,9300,14.420000,1500,48,83,9300,2,20240308091500050
000004.SZ,20240308,91500050,9412,11.800000,600,48,83,9412,2,20240308091500050
000004.SZ,20240308,91500060,10231,11.800000,13400,48,83,10231,2,20240308091500060
000004.SZ,20240308,91500060,10297,11.800000,3800,48,83,10297,2,20240308091500060
000004.SZ,20240308,91500060,10671,14.420000,300,48,83,10671,2,20240308091500060
000004.SZ,20240308,91500060,11160,14.410000,500,48,83,11160,2,20240308091500060
000004.SZ,20240308,91500070,12867,12.500000,800,48,66,12867,1,20240308091500070
000004.SZ,20240308,91500070,14841,13.010000,200,48,66,14841,1,20240308091500070
000004.SZ,20240308,91500080,16347,12.600000,100,48,66,16347,1,20240308091500080
000004.SZ,20240308,91500090,20132,11.800000,300,48,66,20132,1,20240308091500090
000004.SZ,20240308,91500090,20133,12.320000,300,48,66,20133,1,20240308091500090
000004.SZ,20240308,91500090,21336,13.500000,2000,48,83,21336,2,20240308091500090
000004.SZ,20240308,91500090,21401,13.500000,300,48,83,21401,2,20240308091500090
000004.SZ,20240308,91500100,22307,13.390000,1000,48,83,22307,2,20240308091500100
000004.SZ,20240308,91500100,22750,14.400000,600,48,83,22750,2,20240308091500100
000004.SZ,20240308,91500100,23071,13.200000,500,48,66,23071,1,20240308091500100
000004.SZ,20240308,91500100,23785,13.510000,500,48,83,23785,2,20240308091500100
000004.SZ,20240308,91500100,25668,13.680000,800,48,83,25668,2,20240308091500100
000004.SZ,20240308,91500110,27296,14.410000,1700,48,83,27296,2,20240308091500110
000004.SZ,20240308,91500110,27830,13.880000,1900,48,83,27830,2,20240308091500110
000004.SZ,20240308,91500110,31322,11.800000,100,48,66,31322,1,20240308091500110
000004.SZ,20240308,91500110,30135,14.300000,500,48,83,30135,2,20240308091500110
000004.SZ,20240308,91500110,30580,14.180000,200,48,83,30580,2,20240308091500110
